origin,destination,count
LHR,JFK,1259
PEK,JFK,1107
YUL,JFK,1005
GRU,JFK,906
CDG,JFK,814
SYD,JFK,714
FRA,JFK,613
FCO,JFK,591
BCN,JFK,517
MEX,JFK,488
